,Image,Filter,PSNR Gaussian,PSNR Impulsive,SSIM Gaussian,SSIM Impulsive
0,colorImage.png,No Denoising,23.2021103167638,13.300615920780372,0.18011052520199847,0.15307413519162513
1,colorImage.png,Mean Filter,24.123725870206098,20.357791509660167,0.4265040927915657,0.18692579139800322
2,colorImage.png,Mean Filter (Refiltered),23.609403929693265,21.33451480841298,0.48390243264273086,0.25773060859491753
3,colorImage.png,Median Filter,30.459963310321907,33.23872901499452,0.5076565613396226,0.9963932955572198
4,colorImage.png,Median Filter (Refiltered),32.451692687709375,35.41125899426659,0.649047433538024,0.9984435576206746
5,colorImage.png,GVWTM Filter,27.451401436035376,33.18917271916902,0.4419665449374581,0.996390047037191
6,colorImage.png,GVWTM Filter (Refiltered),27.840017283828217,35.01180317493795,0.5068443409396918,0.9984265263490674
7,lenamic.png,No Denoising,20.409990570577094,15.442440367735706,0.3745601573358858,0.2464058210323192
8,lenamic.png,Mean Filter,27.093474187000478,23.28410375968184,0.6843530875679971,0.5111694401459536
9,lenamic.png,Mean Filter (Refiltered),27.305029758806057,24.512796787666417,0.7518494394655345,0.6102322474994696
10,lenamic.png,Median Filter,26.175209674909347,30.918957530094353,0.6181346269154421,0.9127319461855862
11,lenamic.png,Median Filter (Refiltered),27.123089511123446,30.68999022917874,0.6932647881066804,0.9050415276043507
12,lenamic.png,GVWTM Filter,27.069784819125626,31.06119538612444,0.6736401747337588,0.9029546383531901
13,lenamic.png,GVWTM Filter (Refiltered),27.742179959993752,29.969623692393036,0.7459452802153703,0.8855138360637417
14,parrots.png,No Denoising,20.39636982756957,15.30147921011207,0.3176912314337192,0.20017948237879402
15,parrots.png,Mean Filter,28.328868908395002,23.700762023356067,0.7001949407526212,0.5000351275709897
16,parrots.png,Mean Filter (Refiltered),29.12286504248808,25.367435179023833,0.7947881885682445,0.6271619695581223
17,parrots.png,Median Filter,27.064267297767913,33.468902907725216,0.6251796350913854,0.965382554958042
18,parrots.png,Median Filter (Refiltered),28.473011042515996,33.339701642838385,0.7226487609549247,0.9591954019055722
19,parrots.png,GVWTM Filter,27.94946054335246,32.882583356532365,0.6763010033022524,0.9359449089214779
20,parrots.png,GVWTM Filter (Refiltered),29.23843113260744,32.147130944664916,0.7777722844704975,0.9380161352688487
21,patent.png,No Denoising,20.27000936539523,15.802589869723342,0.21444990879213352,0.1385376380392692
22,patent.png,Mean Filter,27.908532587915825,24.23827581016123,0.5704394151794313,0.38688333161252975
23,patent.png,Mean Filter (Refiltered),28.673404015443715,25.882087803753194,0.7016500230370308,0.5348811485825987
24,patent.png,Median Filter,26.872231795780657,33.29994351741582,0.4893791803846586,0.9219989438287931
25,patent.png,Median Filter (Refiltered),28.269333007338044,32.84408678281243,0.6130997962748362,0.9170468792019378
26,patent.png,GVWTM Filter,27.72696217760012,33.11777179506359,0.5476834115700876,0.9137587465029272
27,patent.png,GVWTM Filter (Refiltered),28.88660974194382,31.91738444421042,0.677516365491608,0.9099482631616485
28,penguins.png,No Denoising,20.94631051228321,14.822833402887468,0.4176722910738204,0.2927096634671664
29,penguins.png,Mean Filter,25.928354288108526,22.151453850981497,0.7109564361988089,0.517990323785059
30,penguins.png,Mean Filter (Refiltered),25.130962970266776,22.740941926032004,0.7714604690635966,0.6078883784346204
31,penguins.png,Median Filter,26.2228000659304,30.3040553820054,0.658582468654704,0.9590619923840928
32,penguins.png,Median Filter (Refiltered),26.83537649688939,29.77431889145072,0.7379263640733232,0.9518864696326116
33,penguins.png,GVWTM Filter,26.716635201680226,29.847871415099707,0.7061010796179553,0.9379355349827105
34,penguins.png,GVWTM Filter (Refiltered),26.784229463430876,28.707604107467468,0.7806751930109597,0.9306600534450452
35,redGreen.png,No Denoising,20.869449416451133,14.535949042966251,0.11526928321110559,0.08318915865164092
36,redGreen.png,Mean Filter,29.31106398415741,22.921948294143355,0.5497892935703644,0.2716732642193034
37,redGreen.png,Mean Filter (Refiltered),31.21397267241253,24.97252604815325,0.7331132171382843,0.44330449176206704
38,redGreen.png,Median Filter,27.893631380899258,38.95899796366415,0.41462723267949536,0.9973755824835706
39,redGreen.png,Median Filter (Refiltered),30.25349646129456,40.841772974929754,0.5810546255334091,0.9989728205413292
40,redGreen.png,GVWTM Filter,29.52955630822869,36.14675915313791,0.5174589358535783,0.9455458376213034
41,redGreen.png,GVWTM Filter (Refiltered),32.046776262143375,36.99626383763701,0.6991222731374768,0.9756617569544376
42,traffic.png,No Denoising,20.495793489208708,15.212673663770635,0.6130628843452677,0.4511425986463547
43,traffic.png,Mean Filter,21.066460964032427,19.601282315578818,0.6515279195725071,0.5461373464898127
44,traffic.png,Mean Filter (Refiltered),20.521828753641746,19.61380336141959,0.6565702667583867,0.5724826856879894
45,traffic.png,Median Filter,21.18838943940426,21.851635487254587,0.6392870651506076,0.7981862141723414
46,traffic.png,Median Filter (Refiltered),21.095225104069186,21.60272165268899,0.6640881326892222,0.7820966240593111
47,traffic.png,GVWTM Filter,21.664282565406015,22.09646126515864,0.6837538828547668,0.8083887584294519
48,traffic.png,GVWTM Filter (Refiltered),21.23248028859698,21.44388759016067,0.6903170104788172,0.7712276820406855
